0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
º«¼Ò»´,ÁÖ»³Åô,05757,20180319,20180517,M,C57BL/6J,,,,Abcf3,(+/-),,,,,,,,,C,104,1,5,7,P1,P1
º«¼Ò»´,ÑîµÀÎ°,561,,,F,C57BL/6J,,,,,,RalB,(-/-),,,,,,,C,104,1,5,7,,
º«¼Ò»´,ÑîµÀÎ°,581,,,M,C57BL/6J,,,,RalA,(+/-),RalB,(+/-),,,,,,,C,104,1,5,7,,


º«¼Ò»´,ÁÖ»³Åô,09683,20180319,20180517,M,C57BL/6J,,,,Abcf2,(+/-),,,,,,,,,C,104,1,5,8,P1,P1
º«¼Ò»´,ÑîµÀÎ°,776,,,F,C57BL/6J,,,,NLRP3 D301N,(+/-),,,,,,,,,C,104,1,5,8,,
º«¼Ò»´,ÑîµÀÎ°,780,,,M,C57BL/6J,,,,,,,,,,,,,,C,104,1,5,8,,

º«¼Ò»´,ÑîµÀÎ°,12,,,M,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,1,,
º«¼Ò»´,ÑîµÀÎ°,12,,,M,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,1,,


º«¼Ò»´,ÑîµÀÎ°,41,,,F,C57BL/6J,,,,NLRP3 D301N,(+/-),,,,,,,,,C,104,1,1,1,,
º«¼Ò»´,ÑîµÀÎ°,41,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,4,,

º«¼Ò»´,ÑîµÀÎ°,42,,,F,C57BL/6J,,,,NLRP3 D302N,(+/-),,,,,,,,,C,104,1,1,1,,
º«¼Ò»´,ÑîµÀÎ°,42,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,4,,

º«¼Ò»´,ÑîµÀÎ°,43,,,F,C57BL/6J,,,,NLRP3 D303N,(+/-),,,,,,,,,C,104,1,1,1,,
º«¼Ò»´,ÑîµÀÎ°,43,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,4,,

º«¼Ò»´,ÑîµÀÎ°,44,,,M,C57BL/6J,,,,,,,,,,,,,,C,104,1,3,2,,
º«¼Ò»´,ÑîµÀÎ°,44,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,4,,

º«¼Ò»´,ÑîµÀÎ°,45,,,M,C57BL/6J,,,,,,,,,,,,,,C,104,1,3,2,,
º«¼Ò»´,ÑîµÀÎ°,45,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,4,,

º«¼Ò»´,ÑîµÀÎ°,75,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,3,7,,
º«¼Ò»´,ÑîµÀÎ°,75,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,6,1,,


º«¼Ò»´,ÑîµÀÎ°,460,,,M,C57BL/6J,,,,ZBP1,(+/-),,,,,,,,,B,207,7,7,4,,
º«¼Ò»´,ÑîµÀÎ°,478,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,7,4,,
º«¼Ò»´,ÑîµÀÎ°,489,,,F,C57BL/6J,,,,ZBP1,(-/-),,,,,,,,,B,207,7,7,5,,
º«¼Ò»´,ÑîµÀÎ°,461,,,F,C57BL/6J,,,,ZBP1,(-/-),,,,,,,,,B,207,7,7,5,,
º«¼Ò»´,ÑîµÀÎ°,490,,,F,C57BL/6J,,,,,,,,,,,,,,B,207,7,7,6,,
º«¼Ò»´,ÑîµÀÎ°,3215,,,F,C57BL/6J,,,,ZBP1,(+/-),,,,,,,,,B,207,7,7,6,,
